name,address,type,opened,closed,borough,date_approx
Las Ventanas Restaurant,"329 Bleecker St, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
Mim's Restaurant,"8 Christopher St, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
Pete's Place,"317 E 5th St, New York, NY 10003",restaurant,1984,1987,Manhattan,yes
Rogers Restaurant,"21 Greenwich Ave, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
Scaramouche Rest.,"157 Duane St, New York, NY 10013",restaurant,1984,1985,Manhattan,yes
Van D's,"123 E 18th St, New York, NY 10003",restaurant,1984,1985,Manhattan,yes
Waverly Waverly,"147 Waverly Pl, New York, NY 10014",restaurant,1984,1985,Manhattan,yes
Love Boat,"7702 Broadway Elmhurst, NY 11373",bar,1985,1995,Queens,
Chelsea Pines Inn,"317 W 14th St, New York, NY 10014",hotel,1985,2025,Manhattan,yes
Colonial House Inn,"318 W 22nd St, New York, NY 10011",hotel,1985,2021,Manhattan,yes
Grand Sea Palace,"346 W 46th St, New York, NY 10036",restaurant,1985,2007,Manhattan,no
Katherine Restaurant,"183 W 10th St, New York, NY 10014",restaurant,1985,1987,Manhattan,yes
Shescape,"41 E 58th St, New York, NY 10022",restaurant,1985,1988,Manhattan,yes
Eighty Eight's,"228 W 10th St, New York, NY 10014",bar/restaurant,1988,1999,Manhattan,
Chez Michallet,"90 Bedford St, New York, NY 10014",restaurant,1988,2005,Manhattan,yes
Dutchess II,"70 Grove St, New York, NY 10014",bar,1989,1990,Manhattan,yes
Friend's Tavern,"78-11 Roosevelt Ave, Jackson Heights, NY 11372",bar,1989,2025,Queens ,
Judith's Room,"681 Washington St, New York, NY 10014",bookstore,1989,1995,Manhattan,yes
The Townhouse Restaurant,"206 E 58th St, New York, NY 10022",restaurant,1989,2025,Manhattan,no
Bar Room 432,"432 W 14th St, New York, NY 10014",bar,1990,1996,Manhattan,no
Bum Bum Bar,"63-14 Roosevelt Ave, Flushing, NY 11377",bar,1990,2019,Queens,no
Grove Club,"70 Grove St, New York, NY 10014",bar,1990,1991,Manhattan,no
Henrietta Hudson,"438-444 Hudson St, New York, NY 10014",bar,1991,2025,Manhattan,no
Pandora's Box,"70 Grove St, New York, NY 10014",bar,1992,1992,Manhattan,
Café con Leche,"124 W 43rd St, New York, NY 10036",club,1993,1996,Manhattan,yes
Cubbyhole,"281 W 12th St, New York, NY 10014",bar,1994,2025,Manhattan,no
Tiffany II Restaurant,"222 West 4th Street, New York, NY 10014",restaurant,1995,1998,Manhattan,yes
Meow Mix,"269 E Houston St, New York, NY 10002",club,1996,2004,Manhattan,
Club Impressions,"1558 3rd Ave, New York, NY 10128",after-hours private club,NA,NA,Manhattan,
The Turn-Over,"105 W 13th St, New York, NY 10011",bar,NA,NA,Manhattan,
Uno's Café,"1051 Allerton Ave. Bronx, NY 10469",bar,NA,NA,Bronx,
Gypsy's,"1065 1st Ave., New York, NY 10022",bar,NA,NA,Manhattan,
Taggariss House,"108 E 41st St, New York, NY 10168",bar,NA,NA,Manhattan,
Jack of Diamonds,"1085 2nd Ave, New York, NY 10022",bar,NA,NA,Manhattan,
Union Club,"110 E 14th St, New York, NY 10003",bar,NA,NA,Manhattan,
Turn Table,"114 W 45th St, New York, NY 10036",bar,NA,NA,Manhattan,
John's Joynt,"1154 1st Ave., New York, NY 10065",bar,NA,NA,Manhattan,
Night Wing,"118 Greenwich Ave, New York, NY 10011",bar,NA,NA,Manhattan,
Piper's Lounge,"1201 Lexington Ave, New York, NY 10028",bar,NA,NA,Manhattan,
GoldDiggers,"1234 2nd Ave, New York, NY 10065",bar,NA,NA,Manhattan,
Midtown 43,"127 West 43rd St, New York, NY 10036",bar,NA,NA,Manhattan,
Hollywood!,"128 W 45th St, New York, NY 10036",bar,NA,NA,Manhattan,
Angora Bar,"129 8th Ave, New York, NY 10011",bar,NA,NA,Manhattan,
Kathy's,"130-06 Atlantic Ave South Richmond Hill, NY 11419",bar,NA,NA,Queens,
The Square Lemon,"135-06 Northern Blvd Flushing, NY 11354",bar,NA,NA,Queens,
Outcast,"1382 2nd Ave, New York, NY 10021",bar,NA,NA,Manhattan,
Village Stix,"139 Christopher St, New York, NY 10014",bar,NA,NA,Manhattan,
Rocco's,"139 E 34th St, New York, NY 10016",bar,NA,NA,Manhattan,
17th St Saloon,"143 8th Ave, New York, NY 10011",bar,NA,NA,Manhattan,
The Cabaret,"1436 3rd Ave, New York, NY 10028",bar,NA,NA,Manhattan,
Pegasus,"145 E 23rd St, New York, NY 10010",bar,NA,NA,Manhattan,
Razzle Dazzle,"1485 3rd Ave, New York, NY 10028",bar,NA,NA,Manhattan,
Fiddle Stix,"1487 1st Ave, New York, NY 10075",bar,NA,NA,Manhattan,
New Deal,"152 Spring St, New York, NY 10012",bar,NA,NA,Manhattan,
Last Resort,"153 1st Ave, New York, NY 10003",bar,NA,NA,Manhattan,
Alibi,"1544 2nd Ave, New York, NY 10028",bar,NA,NA,Manhattan,
New Jimmy's Supper Club,"1576 3rd Ave, New York, NY 10128",bar,NA,NA,Manhattan,
Bull in the Bush,"1638 2nd Ave, New York, NY 10028",bar,NA,NA,Manhattan,
Candle II,"168 Amsterdam Ave, New York, NY 10023",bar,NA,NA,Manhattan,
96 West,"168 W 96th St, New York, NY 10025",bar,NA,NA,Manhattan,
Lodge East,"1683 1st Ave, New York, NY 10128",bar,NA,NA,Manhattan,
Britt Top,"1716 2nd Ave, New York, NY 10128",bar,NA,NA,Manhattan,
Chaps,"176 E 87th St, New York, NY 10028",bar,NA,NA,Manhattan,
Tempust Fugit,"178 2nd Ave, New York, NY 10003",bar,NA,NA,Manhattan,
Squires: Nook,"18 E 13th St, New York, NY 10003",bar,NA,NA,Manhattan,
Charade,"1800 2nd Ave, New York, NY 10128",bar,NA,NA,Manhattan,
Sugar's,"183 W 10th St, New York, NY 10014",bar,NA,NA,Manhattan,
Monte Casino,"185 Montague St Brooklyn, NY 11201",bar,NA,NA,Brooklyn,
Howie's Hide-A-Way,"185 W 10th St, New York, NY 10014",bar,NA,NA,Manhattan,
Seesaw,"185 W 10th St, New York, NY 10014",bar,NA,NA,Manhattan,
La Bamba,"192 2nd Ave, New York, NY 10003",bar,NA,NA,Manhattan,
Pelican Club,"200 W 70th St, New York, NY 10023",bar,NA,NA,Manhattan,
My Sister's Place,"2056 Broadway, New York, NY 10023",bar,NA,NA,Manhattan,
Maneuvers,"208 W 23rd St, New York, NY 10011",bar,NA,NA,Manhattan,
Nightingale,"213 2nd Ave, New York, NY 10003",bar,NA,NA,Manhattan,
Ronnie's Roost,"2130 Broadway, New York, NY 10023",bar,NA,NA,Manhattan,
Lighthouse,"2160 Broadway, New York, NY 10023",bar,NA,NA,Manhattan,
Westsider Bar,"2160 Broadway, New York, NY 10023",bar,NA,NA,Manhattan,
Speakeasy,"2160 Broadway, New York, NY 10023",bar,NA,NA,Manhattan,
Penny Lane,"220 W 49th St, New York, NY 10019",bar,NA,NA,Manhattan,
Chez Bippy,"2207 Boller Ave, Bronx, NY 10475",bar,NA,NA,Bronx,
Willie's West Side,"224 W 82nd St, New York, NY 10024",bar,NA,NA,Manhattan,
Top of the Pits,"230 W 74th St, New York, NY 10023",bar,NA,NA,Manhattan,
O'Neill's Backyard,"231 W 48th St, New York, NY 10036",bar,NA,NA,Manhattan,
Pipeline,"232 8th Ave, New York, NY 10011",bar,NA,NA,Manhattan,
Billy's Chelsea Bar,"232 8th Ave, New York, NY 10011",bar,NA,NA,Manhattan,
The Barn,"232 Park Ave S, New York, NY 10003",bar,NA,NA,Manhattan,
Summer Stock,"232 Park Ave S, New York, NY 10003",bar,NA,NA,Manhattan,
Ginger Bread,"232 Park Ave S, New York, NY 10003",bar,NA,NA,Manhattan,
Trix,"234 W 50th St, New York, NY 10019",bar,NA,NA,Manhattan,
Daddy's,"238 3rd Ave, New York, NY 10003",bar,NA,NA,Manhattan,
Dallas,"243 E 53rd St, New York, NY 10022",bar,NA,NA,Manhattan,
Le Bar,"243 E 53rd St, New York, NY 10022",bar,NA,NA,Manhattan,
The Garden Club,"244 E 51st St, New York, NY 10022",bar,NA,NA,Manhattan,
TR's,"248 E 52nd St, New York, NY 10022",bar,NA,NA,Manhattan,
Oh Johnny,"248 W 14th St, New York, NY 10011",bar,NA,NA,Manhattan,
Sombrero,"253-32 Northern Blvd Flushing, NY 11362",bar,NA,NA,Queens,
Judy's,"255 West 43rd St, New York, NY 10036",bar,NA,NA,Manhattan,
Shadows,"255 West 43rd St, New York, NY 10036",bar,NA,NA,Manhattan,
Something Special,"262 W 46th St, New York, NY 10036",bar,NA,NA,Manhattan,
Dirty Edna's,"264 W 46th St, New York, NY 10036",bar,NA,NA,Manhattan,
Mothers,"267 W 23rd St, New York, NY 10011",bar,NA,NA,Manhattan,
Mona's Royal Roost,"28 Cornelia St, New York, NY 10014",bar,NA,NA,Manhattan,
12th Night,"281 W 12th St, New York, NY 10014",bar,NA,NA,Manhattan,
4/12 Bar,"281 W 12th St, New York, NY 10014",bar,NA,NA,Manhattan,
The Big Dish,"283 W 12th St, New York, NY 10014",bar,NA,NA,Manhattan,
Centre Bar,"29 St Marks Pl, New York, NY 10003",bar,NA,NA,Manhattan,
Fireside,"30-5 Astoria Blvd Astoria, NY 11102",bar,NA,NA,Queens,
Bleeker Street,"302 Bleecker St, New York, NY 10014",bar,NA,NA,Manhattan,
Jaspers,"305 Columbus Ave, New York, NY 10023",bar,NA,NA,Manhattan,
The Lib,"305 E 45th St, New York, NY 10017",bar,NA,NA,Manhattan,
Candle Bar,"309 10th Ave, New York, NY 10001",bar,NA,NA,Manhattan,
Godmother,"309 E 60th St, New York, NY 10022",bar,NA,NA,Manhattan,
The New Camp,"311 E 60th St, New York, NY 10022",bar,NA,NA,Manhattan,
Mark East,"313 E 46th St, New York, NY 10017",bar,NA,NA,Manhattan,
Three,"314 E 72nd St, New York, NY 10021",bar,NA,NA,Manhattan,
Peeches Three,"314 E 72nd St, New York, NY 10021",bar,NA,NA,Manhattan,
Paisleys,"320 E 79th St, New York, NY 10075",bar,NA,NA,Manhattan,
Bucks,"324 Amsterdam Ave, New York, NY 10023",bar,NA,NA,Manhattan,
Sugarman,"350 E 81st St, New York, NY 10028",bar,NA,NA,Manhattan,
Joe Allen's,"352 W 46th St, New York, NY 10036",bar,NA,NA,Manhattan,
GH Club,"353 E 53rd St, New York, NY 10022",bar,NA,NA,Manhattan,
Brothers And Sisters,"355 W 46th St, New York, NY 10036",bar,NA,NA,Manhattan,
Chairman,"360 Lexington Ave, New York, NY 10017",bar,NA,NA,Manhattan,
Three Jolly Pigeons,"37-21 Greenpoint Ave Queens, NY 11101",bar,NA,NA,Queens,
Bullet Bar,"372 W 11th St, New York, NY 10014",bar,NA,NA,Manhattan,
Alex in Wonderland,"40 10th Ave, New York, NY 10014",bar,NA,NA,Manhattan,
The Ginza,"40 E 58th St, New York, NY 10022",bar,NA,NA,Manhattan,
The Stable,"400 W 14th St, New York, NY 10014",bar,NA,NA,Manhattan,
Monte's of Henry Street,"404 Henry St Brooklyn, NY 11201",bar,NA,NA,Brooklyn,
Huey's on Hudson,"432 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
Round-Up,"438 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
Finale,"48 Barrow St, New York, NY 10014",bar,NA,NA,Manhattan,
Danny's Bar In The Hideaway Motel,"500 W 14th St, New York, NY 10014",bar,NA,NA,Manhattan,
Meat Rack,"500 W 14th St, New York, NY 10014",bar,NA,NA,Manhattan,
Ariel,"53 W 19th St, New York, NY 10011",bar,NA,NA,Manhattan,
The Wine Cellar,"531 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
Frizby's,"531 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
Tracks,"531 W 19th St, New York, NY 10011",bar,NA,NA,Manhattan,
Jonnathans,"547 2nd Ave, New York, NY 10016",bar,NA,NA,Manhattan,
Loading Zone,"568 9th Ave, New York, NY 10036",bar,NA,NA,Manhattan,
Leo's Lion,"57 Lexington Ave, New York, NY 10016",bar,NA,NA,Manhattan,
Roadhouse,"570 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
Janice's Fish Place,"570 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
Siro's,"58 E 53rd St, New York, NY 10022",bar,NA,NA,Manhattan,
The Copabanana,"59 Lexington Ave, New York, NY 10016",bar,NA,NA,Manhattan,
60-05 Club,"60-5 Metropolitan Ave Ridgewood, NY 11385",bar,NA,NA,Queens,
Zips,"636 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
J's,"675 Hudson St, New York, NY 10014",bar,NA,NA,Manhattan,
Fountain Blue,"69-05 Queens Blvd Woodside, NY 11377",bar,NA,NA,Queens,
Dutchess Inn,"70 Grove St, New York, NY 10014",bar,NA,NA,Manhattan,
Sammy's Folly,"73 5th Ave, New York, NY 10003",bar,NA,NA,Manhattan,
Phoenix,"73 8th Ave, New York, NY 10014",bar,NA,NA,Manhattan,
The Octagon,"73-13 37th Rd Jackson Heights, NY 11372",bar,NA,NA,Queens,
What A Dump,"76-07 Roosevelt Ave Jackson Heights, NY 11372",bar,NA,NA,Queens,
"Manhattan, A Bar","76-13 Roosevelt Ave Jackson Heights, NY 11372",bar,NA,NA,Queens,
8 Christopher St. Tavern,"8 Christopher St, New York, NY 10014",bar,NA,NA,Manhattan,
Gracie's Mansion,"80 Clark Street Brooklyn, NY 11201",bar,NA,NA,Brooklyn,
Gas Station,"80 Grove St, New York, NY 10014",bar,NA,NA,Manhattan,
Freidas Hideaway,"81-36 Baxter Ave Elmhurst, NY 11373",bar,NA,NA,Queens,
Tradition,"82 83rd St Brooklyn, NY 11209",bar,NA,NA,Brooklyn,
Outside Inn,"82-20 Baxter Ave Elmhurst, NY 11373",bar,NA,NA,Brooklyn,
La Femme,"85 Washington Pl, New York, NY 10011",bar,NA,NA,Manhattan,
Top Banana,"858 9th Ave, New York, NY 10019",bar,NA,NA,Manhattan,
Studio 88,"86-30 Roosevelt Ave Elmhurst, NY 11373",bar,NA,NA,Queens,
Sticky Fingers,"87 Christopher St, New York, NY 10014",bar,NA,NA,Manhattan,
Come On,"8813 Foster Ave Brooklyn, NY 11236",bar,NA,NA,Brooklyn,
Knight Deposit,"938 Amsterdam Ave, New York, NY 10025",bar,NA,NA,Manhattan,
Sapphire Bar,"957 1st Ave., New York, NY 10022",bar,NA,NA,Manhattan,
Fabric Factory,"200 W 40th St, New York, NY 10018",bar ,NA,NA,Manhattan,
Grapevine,"161 W 47th St, New York, NY 10036",bar/cabaret,NA,NA,Manhattan,
Rant,"115 Christopher St, New York, NY 10014",bar/club,NA,NA,Manhattan,
Tamburlane,"148 W 48th St, New York, NY 10036",bar/club,NA,NA,Manhattan,
Red Rooster,"2374 7th Ave, New York, NY 10030",bar/club,NA,NA,Manhattan,
Big Apple,"3338 Broadway, New York, NY 10031",bar/club,NA,NA,Manhattan,
Sunset Boulevard,"112-01 Queens Blvd Forest Hills, NY 11375",bar/disco,NA,NA,Queens,
Hatfield's,"126- 10 Queens Blvd Richmond Hill, NY 11418",bar/disco,NA,NA,Queens,
Magic Touch,"73-13 37th Rd Jackson Heights, NY 11372",bar/disco,NA,NA,Queens,
Crissy T Chaps,"7507 New Utrecht Ave Brooklyn, NY 11214",bar/disco,NA,NA,Brooklyn,
Spectrum,"802 64th St Brooklyn, NY 11220",bar/disco,NA,NA,Brooklyn,
Sebastian's,"1068 1st Ave., New York, NY 10022",bar/restaurant,NA,NA,Manhattan,
Breadstix,"113-24 Queens Blvd Forest Hills, NY 11375",bar/restaurant,NA,NA,Queens,
Christopher's,"115 Christopher St, New York, NY 10014",bar/restaurant,NA,NA,Manhattan,
Twenty Nine Palms,"129 Lexington Ave, New York, NY 10016",bar/restaurant,NA,NA,Manhattan,
Blue Fox,"131 8th Ave, New York, NY 10011",bar/restaurant,NA,NA,Manhattan,
Panache,"149 E 57th St, New York, NY 10022",bar/restaurant,NA,NA,Manhattan,
Waldo's,"151 Montague St Brooklyn, NY 11201",bar/restaurant,NA,NA,Brooklyn,
Claire's Restaurant,"156 7th Ave, New York, NY 10011",bar/restaurant,NA,NA,Manhattan,
Farnies,"18 2nd Ave, New York, NY 10003",bar/restaurant,NA,NA,Manhattan,
Rockinghorse,"224 Columbus Ave, New York, NY 10023",bar/restaurant,NA,NA,Manhattan,
Andre's Bar,"2321 Frederick Douglass Blvd, New York, NY 10027",bar/restaurant,NA,NA,Manhattan,
Bonampak Mexican Restaurant,"235 E 53rd St, New York, NY 10022",bar/restaurant,NA,NA,Manhattan,
Sundowner's,"309 E 60th St, New York, NY 10022",bar/restaurant,NA,NA,Manhattan,
Chequers,"311 W 48th St, New York, NY 10019",bar/restaurant,NA,NA,Manhattan,
Caroline's,"332 8th Ave, New York, NY 10001",bar/restaurant,NA,NA,Manhattan,
Red Star Café,"400 W 12th St, New York, NY 10014",bar/restaurant,NA,NA,Manhattan,
Peeches n Creem,"408 E 64th St, New York, NY 10065",bar/restaurant,NA,NA,Manhattan,
Café Society,"43 E 20th St, New York, NY 10003",bar/restaurant,NA,NA,Manhattan,
Censi's,"5 Front St Brooklyn, NY 11201",bar/restaurant,NA,NA,Brooklyn,
McFeeley's,"565 W 23rd St, New York, NY 10011",bar/restaurant,NA,NA,Manhattan,
23 St Saloon,"565 W 23rd St, New York, NY 10011",bar/restaurant,NA,NA,Manhattan,
Hornblower's on Horatio,"59 Horatio St, New York, NY 10014",bar/restaurant,NA,NA,Manhattan,
Su-Su's Yum Yum,"60 Henry St Brooklyn, NY 11201",bar/restaurant,NA,NA,Brooklyn,
Ox Cart,"78-11 Roosevelt Ave Jackson Heights, NY 11372",bar/restaurant,NA,NA,Queens,
II Gigolo,"78-17 Roosevelt Ave Flushing, NY 11372",bar/restaurant,NA,NA,Queens,
Cahoots,"81 Columbus Ave, New York, NY 10023",bar/restaurant,NA,NA,Manhattan,
Starz,"836 Grand Blvd Westbury, NY 11590",bar/restaurant,NA,NA,Queens,
Potbelly Stove,"94 Christopher St, New York, NY 10014",bar/restaurant,NA,NA,Manhattan,
Singles,"951 1st Ave., New York, NY 10022",bar/restaurant,NA,NA,Manhattan,
La Stanza,"953 1st Ave., New York, NY 10022",bar/restaurant,NA,NA,Manhattan,
Mayfair,"964 1st Ave, New York, NY 10022",bar/restaurant,NA,NA,Manhattan,
Freddy's,"308 E 49th St, New York, NY 10017",bar/restaurant/cabaret,NA,NA,Manhattan,
Priapus Books & Films,"111 E 12th St, New York, NY 10003",book/sex shop,NA,NA,Manhattan,
It's a Man's World,"287 Amsterdam Ave, New York, NY 10023",bookstore,NA,NA,Manhattan,
Royal Roost,"154 W 13th St, New York, NY 10011",cabaret,NA,NA,Manhattan,
The Spartan,"220 E 59th St, New York, NY 10022",cinema,NA,NA,Manhattan,
Mini,"727 7th Ave, New York, NY 10019",cinema,NA,NA,Manhattan,
The Fair,"Astoria Blvd & 90th St Queens, NY 11369",cinema,NA,NA,Queens,
Crazy Horse,"149 Bleecker St, New York, NY 10012",club,NA,NA,Manhattan,
Club Se Soir,"50 Watts St, New York, NY 10013",club,NA,NA,Manhattan,
Palace,"110 E 14th St, New York, NY 10003",disco,NA,NA,Manhattan,
Tory's,"119 E 27th St, New York, NY 10016",disco,NA,NA,Manhattan,
Tropicalia,"1634 3rd Ave, New York, NY 10128",disco,NA,NA,Manhattan,
The Ring,"180 Christopher St, New York, NY 10014",disco,NA,NA,Manhattan,
Warehouse,"201 W 75th St, New York, NY 10023",disco,NA,NA,Manhattan,
Fridas's,"25 3rd Ave, New York, NY 10003",disco,NA,NA,Manhattan,
El Castillo Rojo,"252 West 43rd St, New York, NY 10036",disco,NA,NA,Manhattan,
Sweet Sensation,"2527 65th St Brooklyn, NY 11204",disco,NA,NA,Brooklyn,
Stix,"304 E 39th St, New York, NY 10016",disco,NA,NA,Manhattan,
Resurrection,"316 W 49th St, New York, NY 10019",disco,NA,NA,Manhattan,
Marquee,"439 W 46th St, New York, NY 10036",disco,NA,NA,Manhattan,
Saturday Night Dance Club,"531 W 19th St, New York, NY 10011",disco,NA,NA,Manhattan,
"Benton-Smith, Ltd","56 E Mt Eden Ave, Bronx, NY 10452",disco,NA,NA,Bronx,
Hot Ice,"57 W 57th St, New York, NY 10019",disco,NA,NA,Manhattan,
Network,"579 6th Ave, New York, NY 10011",disco,NA,NA,Manhattan,
Zodiac 2000,"63-12 Broadway Woodside, NY 11377",disco,NA,NA,Queens,
Collage,"63-12 Broadway Woodside, NY 11377",disco,NA,NA,Queens,
Le Trianon,"74 E 13th St, New York, NY 10003",disco,NA,NA,Manhattan,
Beritz,"7507 New Utrecht Ave Brooklyn, NY 11214",disco,NA,NA,Brooklyn,
Star Wars Disco,"79-24 Cypress Ave, Flushing, NY 11385",disco,NA,NA,Queens,
Blueboy Disco,"96-22 Queens Blvd Rego Park, NY 11374",disco,NA,NA,Queens,
Sentry Uniform Cap,"106 New Lots Ave Brooklyn, NY 11212",erotica,NA,NA,Brooklyn,
G&D Merchandise,"113 W 42nd St, New York, NY 10036",erotica,NA,NA,Manhattan,
"117 Christopher Video, Inc.","117 Christopher St, New York, NY 10014",erotica,NA,NA,Manhattan,
Eve's Garden,"119 W 57th St, New York, NY 10019",erotica,NA,NA,Manhattan,
Harmony Video,"139 Christopher St, New York, NY 10014",erotica,NA,NA,Manhattan,
Pink Pussycat Boutique,"161 West 4th Street, New York, NY 10014",erotica,NA,NA,Manhattan,
World of Video,"178 7th Ave S, New York, NY 10014",erotica,NA,NA,Manhattan,
New World Video,"201 E 14th St, New York, NY 10003",erotica,NA,NA,Manhattan,
Ann Street Adult Entertainment Center,"21 Ann St, New York, NY 10038",erotica,NA,NA,Manhattan,
Ricky's Place (downstairs),"210 W 42nd St, New York, NY 10036",erotica,NA,NA,Manhattan,
Courageous Books,"250 W 42nd St, New York, NY 10036",erotica,NA,NA,Manhattan,
Two-Fifty Book Center,"250 W 42nd St, New York, NY 10036",erotica,NA,NA,Manhattan,
G & A Books Inc,"251 W 42nd St, New York, NY 10036",erotica,NA,NA,Manhattan,
Come Again,"353 E 53rd St, New York, NY 10022",erotica,NA,NA,Manhattan,
Flushing Adult Books & Video (2nd floor),"36-39 Main St Flushing, NY 11354",erotica,NA,NA,Queens,
Underground Leather,"390 West St, New York, NY 10014",erotica,NA,NA,Manhattan,
International Film & Video,"453 W 47th St, New York, NY 10036",erotica,NA,NA,Manhattan,
Gay Treasures,"546 Hudson St, New York, NY 10014",erotica,NA,NA,Manhattan,
Show Palace/ SLR Merchandising,"672 8th Ave, New York, NY 10036",erotica,NA,NA,Manhattan,
Xtasy Down Under Male Emporium,"691 8th Ave, New York, NY 10036",erotica,NA,NA,Manhattan,
Adult Fair Cinema,"90-18 Astoria Blvd, East Elmhurst, NY 11369",erotica,NA,NA,Queens,
New Male Box,"210 W 42nd St, New York, NY 10036",erotica/cruising,NA,NA,Manhattan,
Laminations,"39 Christopher St, New York, NY 10014",gift shop,NA,NA,Manhattan,
Scott Hotel,"132 W 45th St, New York, NY 10036",hotel,NA,NA,Manhattan,
Seaport Bed & Breakfast,"27 Peck Slip, New York, NY 10038",hotel,NA,NA,Manhattan,
Sutton East,"330 E 56th St, New York, NY 10022",hotel,NA,NA,Manhattan,
Amandia House,"722 St Nicholas Ave, New York, NY 10031",hotel,NA,NA,Manhattan,
Shaft,"181 2nd Ave, New York, NY 10003",juice bar,NA,NA,Manhattan,
The Jungle,"303 E 60th St, New York, NY 10022",juice bar,NA,NA,Manhattan,
The Zoo,"303 E 60th St, New York, NY 10022",juice bar,NA,NA,Manhattan,
Trojan's Den,"162 W 34th St, New York, NY 10001",massage,NA,NA,Manhattan,
Cherry Grove East,"200 E 14th St, New York, NY 10003",massage,NA,NA,Manhattan,
Plaza Theatre,"314 Flatbush Ave Brooklyn, NY 11217",porn theatre/crusing,NA,NA,Brooklyn,
Scotland Yard,"146 West 4th Street, New York, NY 10012",private club,NA,NA,Manhattan,
The Nine Plus,"202 8th Ave, New York, NY 10011",private club,NA,NA,Manhattan,
Mood Club,"77 White St, New York, NY 10013",private club,NA,NA,Manhattan,
Applause,"360 Lexington Ave, New York, NY 10017",restaurant,NA,NA,Manhattan,
Belly Button,"68 Greenwich Ave, New York, NY 10011",restaurant,NA,NA,Manhattan,
Casa Laredo,"551 Hudson St, New York, NY 10014",restaurant,NA,NA,Manhattan,
E & H Kast,"152 Spring St, New York, NY 10012",restaurant,NA,NA,Manhattan,
Frisby,"530 Hudson St, New York, NY 10014",restaurant,NA,NA,Manhattan,
Gallery,"77 Christopher St, New York, NY 10014",restaurant,NA,NA,Manhattan,
Le Jules Verne,"189 W 10th St, New York, NY 10014",restaurant,NA,NA,Manhattan,
Luizzi's,"180 Prince St, New York, NY 10012",restaurant,NA,NA,Manhattan,
Max Seafood Restaurant,"305 West End Ave, New York, NY 10023",restaurant,NA,NA,Manhattan,
Pier Nine,"215 2nd Ave, New York, NY 10003",restaurant,NA,NA,Manhattan,
Rex Café Expresso,"161 Prince St, New York, NY 10012",restaurant/café,NA,NA,Manhattan,
Silhouette,"53 W 19th St, New York, NY 10011",restaurant,NA,NA,Manhattan,
Silver Dollar,"163 Christopher St, New York, NY 10014",restaurant,NA,NA,Manhattan,
Third Avenue El,"895 3rd Ave, New York, NY 10022",restaurant,NA,NA,Manhattan,
Leather Rack,"247 W 42nd St, New York, NY 10036",sex shop,NA,NA,Manhattan,
Strap,"130 10th Ave, New York, NY 10011",backroom,,,Manhattan,
Camp David,"1007 Lexington Ave, New York, NY 10021",bar,,,Manhattan,
Lion's,"105 W 13th St, New York, NY 10011",bar,,,Manhattan,
Danny's of Brooklyn Heights,"108 Montague St, Brooklyn, NY 11201",bar,,,Brooklyn ,
Ty's,"114 Christopher St, New York, NY 10014",bar,,,Manhattan,
Tunnel,"116 1st Ave, New York, NY 10009 ",bar,,,Manhattan,
Nickel Bar,"127 W 72nd St, New York, NY 10023",bar,,,Manhattan,
Arck Lane,"130-02 Atlantic Ave, South Richmond Hill, NY 11419",bar,,,Queens ,
Sparky's,"130-4 Atlantic Ave, South Richmond Hill, NY 11419",bar,,,Queens ,
Chelsea Transfer,"131 8th Ave, New York, NY 10011",bar,,,Manhattan,
Chi Chiz,"135 Christopher St, New York, NY 10014",bar,,,Manhattan,
Danny's First,"139 Christopher St, New York, NY 10014",bar,,,Manhattan,
Yukon Bar,"140 E 53rd St, New York, NY 10022",bar,,,Manhattan,
Harry's Back East,"1422 3rd Ave, New York, NY 10028",bar,,,Manhattan,
Two Potato,"143 Christopher St, New York, NY 10014",bar,,,Manhattan,
Show Place,"146 W 4th St, New York, NY 10012",bar,,,Manhattan,
Twilight,"1463 3rd Ave, New York, NY 10028",bar,,,Manhattan,
Painted Pony,"1485 3rd Ave, New York, NY 10028",bar,,,Manhattan,
Kookie's,"149 West 14th St, New York, NY 10011",bar,,,Manhattan,
Boy Bar,"15 St Marks Pl, New York, NY 10003",bar,,,Manhattan,
Chap's,"1558 3rd Ave, New York, NY 10128",bar,,,Manhattan,
Velvet,"167 Avenue A, New York, NY 10009",bar,,,Manhattan,
Foxy,"167 Avenue A, New York, NY 10009",bar,,,Manhattan,
Half Breed,"168 Amsterdam Ave, New York, NY 10023",bar,,,Manhattan,
Seventeen Barrow Street,"17 Barrow St, New York, NY 10014",bar,,,Manhattan,
Bull Feathers,"1716 2nd Ave, New York, NY 10128",bar,,,Manhattan,
Piano Bar,"180 Montague St Brooklyn, NY 11201",bar,,,Brooklyn ,
The Dugout on Christopher,"185 Christopher St, New York, NY 10014",bar,,,Manhattan,
P.M.,"204 E 18th St, Brooklyn, NY 11226",bar,,,Manhattan,
